Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.37     0.00   212040     0.00     0.00  std::allocator<glm::vec<4, float, (glm::precision)0> >::allocator(std::allocator<glm::vec<4, float, (glm::precision)0> > const&)
  0.00      0.37     0.00   195958     0.00     0.00  __gnu_cxx::__normal_iterator<CollisionSystem::Candidate*, std::vector<CollisionSystem::Candidate, std::allocator<CollisionSystem::Candidate> > >::base() const
  0.00      0.37     0.00   169171     0.00     0.00  std::_Base_bitset<1ul>::_M_getword(unsigned long) const
  0.00      0.37     0.00   165270     0.00     0.00  std::bitset<64ul>::_Unchecked_test(unsigned long) const
  0.00      0.37     0.00   165268     0.00     0.00  std::vector<char*, std::allocator<char*> >::operator[](unsigned long)
  0.00      0.37     0.00   165239     0.00     0.00  std::bitset<64ul>::operator[](unsigned long) const
  0.00      0.37     0.00   165239     0.00     0.00  std::vector<std::bitset<64ul>, std::allocator<std::bitset<64ul> > >::operator[](unsigned long) const
  0.00      0.37     0.00   139258     0.00     0.00  std::_Base_bitset<1ul>::_M_getword(unsigned long)
  0.00      0.37     0.00   132534     0.00     0.00  stella::graphics::Texture::GetHeight() const
  0.00      0.37     0.00   119304     0.00     0.00  entityx::EntityManager::ViewIterator<entityx::EntityManager::BaseView<false>::Iterator, false>::predicate()
  0.00      0.37     0.00   119304     0.00     0.00  std::_Base_bitset<1ul>::_M_is_equal(std::_Base_bitset<1ul> const&) const
  0.00      0.37     0.00   119304     0.00     0.00  std::bitset<64ul>::operator==(std::bitset<64ul> const&) const
  0.00      0.37     0.00   119304     0.00     0.00  std::_Base_bitset<1ul>::_M_do_and(std::_Base_bitset<1ul> const&)
  0.00      0.37     0.00   119304     0.00     0.00  std::bitset<64ul>::operator&=(std::bitset<64ul> const&)
  0.00      0.37     0.00   119285     0.00     0.00  bool __gnu_cxx::operator!=<stella::graphics::Sprite**, std::vector<stella::graphics::Sprite*, std::allocator<stella::graphics::Sprite*> > >(__gnu_cxx::__normal_iterator<stella::graphics::Sprite**, std::vector<stella::graphics::Sprite*, std::allocator<stella::graphics::Sprite*> > > const&, __gnu_cxx::__normal_iterator<stella::graphics::Sprite**, std::vector<stella::graphics::Sprite*, std::allocator<stella::graphics::Sprite*> > > const&)
  0.00      0.37     0.00   107921     0.00     0.00  __gnu_cxx::__normal_iterator<CollisionSystem::Candidate*, std::vector<CollisionSystem::Candidate, std::allocator<CollisionSystem::Candidate> > >::__normal_iterator(CollisionSystem::Candidate* const&)
  0.00      0.37     0.00   106028     0.00     0.00  stella::graphics::SpriteSheet::~SpriteSheet()
  0.00      0.37     0.00   106028     0.00     0.00  __gnu_cxx::__normal_iterator<stella::graphics::Sprite**, std::vector<stella::graphics::Sprite*, std::allocator<stella::graphics::Sprite*> > >::operator++()
  0.00      0.37     0.00   106028     0.00     0.00  __gnu_cxx::__normal_iterator<stella::graphics::Sprite**, std::vector<stella::graphics::Sprite*, std::allocator<stella::graphics::Sprite*> > >::operator*() const
  0.00      0.37     0.00   106028     0.00     0.00  void std::_Destroy_aux<true>::__destroy<glm::vec<4, float, (glm::precision)0>*>(glm::vec<4, float, (glm::precision)0>*, glm::vec<4, float, (glm::precision)0>*)
  0.00      0.37     0.00   106028     0.00     0.00  std::_Vector_base<glm::vec<4, float, (glm::precision)0>, std::allocator<glm::vec<4, float, (glm::precision)0> > >::_Vector_impl::~_Vector_impl()
  0.00      0.37     0.00   106028     0.00     0.00  std::_Vector_base<glm::vec<4, float, (glm::precision)0>, std::allocator<glm::vec<4, float, (glm::precision)0> > >::_M_deallocate(glm::vec<4, float, (glm::precision)0>*, unsigned long)
  0.00      0.37     0.00   106028     0.00     0.00  std::_Vector_base<glm::vec<4, float, (glm::precision)0>, std::allocator<glm::vec<4, float, (glm::precision)0> > >::~_Vector_base()
  0.00      0.37     0.00   106028     0.00     0.00  std::vector<glm::vec<4, float, (glm::precision)0>, std::allocator<glm::vec<4, float, (glm::precision)0> > >::~vector()
  0.00      0.37     0.00   106028     0.00     0.00  void std::_Destroy<glm::vec<4, float, (glm::precision)0>*>(glm::vec<4, float, (glm::precision)0>*, glm::vec<4, float, (glm::precision)0>*)
  0.00      0.37     0.00   106028     0.00     0.00  void std::_Destroy<glm::vec<4, float, (glm::precision)0>*, glm::vec<4, float, (glm::precision)0> >(glm::vec<4, float, (glm::precision)0>*, glm::vec<4, float, (glm::precision)0>*, std::allocator<glm::vec<4, float, (glm::precision)0> >&)
  0.00      0.37     0.00   106020     0.00     0.00  glm::vec<3, float, (glm::precision)0>::vec<float, float, (glm::precision)0>(glm::vec<2, float, (glm::precision)0> const&, float)
  0.00      0.37     0.00   106020     0.00     0.00  stella::graphics::SpriteSheet::SpriteSheet(stella::graphics::SpriteSheet const&)
  0.00      0.37     0.00   106020     0.00     0.00  stella::graphics::Texture::Bind()
  0.00      0.37     0.00   106020     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<glm::vec<4, float, (glm::precision)0> > >::_S_select_on_copy(std::allocator<glm::vec<4, float, (glm::precision)0> > const&)
  0.00      0.37     0.00   106020     0.00     0.00  bool __gnu_cxx::operator!=<glm::vec<4, float, (glm::precision)0> const*, std::vector<glm::vec<4, float, (glm::precision)0>, std::allocator<glm::vec<4, float, (glm::precision)0> > > >(__gnu_cxx::__normal_iterator<glm::vec<4, float, (glm::precision)0> const*, std::vector<glm::vec<4, float, (glm::precision)0>, std::allocator<glm::vec<4, float, (glm::precision)0> > > > const&, __gnu_cxx::__normal_iterator<glm::vec<4, float, (glm::precision)0> const*, std::vector<glm::vec<4, float, (glm::precision)0>, std::allocator<glm::vec<4, float, (glm::precision)0> > > > const&)
  0.00      0.37     0.00   106020     0.00     0.00  stella::graphics::Renderable::GetTexture() const
  0.00      0.37     0.00   106020     0.00     0.00  stella::graphics::Renderable::GetDimensions() const
  0.00      0.37     0.00   106020     0.00     0.00  stella::graphics::SpriteSheet::GetWidth() const
  0.00      0.37     0.00   106020     0.00     0.00  stella::graphics::SpriteSheet::GetHeight() const
  0.00      0.37     0.00   106020     0.00     0.00  stella::graphics::Sprite::GetSpriteSheet() const
  0.00      0.37     0.00   106020     0.00     0.00  stella::graphics::Sprite::GetColor() const
  0.00      0.37     0.00   106020     0.00     0.00  std::_Vector_base<glm::vec<4, float, (glm::precision)0>, std::allocator<glm::vec<4, float, (glm::precision)0> > >::_M_get_Tp_allocator() const
  0.00      0.37     0.00   106020     0.00     0.00  std::vector<glm::vec<4, float, (glm::precision)0>, std::allocator<glm::vec<4, float, (glm::precision)0> > >::end() const
  0.00      0.37     0.00   106020     0.00     0.00  std::vector<glm::vec<4, float, (glm::precision)0>, std::allocator<glm::vec<4, float, (glm::precision)0> > >::size() const
  0.00      0.37     0.00   106020     0.00     0.00  std::vector<glm::vec<4, float, (glm::precision)0>, std::allocator<glm::vec<4, float, (glm::precision)0> > >::begin() const
  0.00      0.37     0.00   106020     0.00     0.00  std::_Vector_base<glm::vec<4, float, (glm::precision)0>, std::allocator<glm::vec<4, float, (glm::precision)0> > >::_M_allocate(unsigned long)
  0.00      0.37     0.00   106020     0.00     0.00  std::_Vector_base<glm::vec<4, float, (glm::precision)0>, std::allocator<glm::vec<4, float, (glm::precision)0> > >::_Vector_impl::_Vector_impl(std::allocator<glm::vec<4, float, (glm::precision)0> > const&)
  0.00      0.37     0.00   106020     0.00     0.00  std::_Vector_base<glm::vec<4, float, (glm::precision)0>, std::allocator<glm::vec<4, float, (glm::precision)0> > >::_M_create_storage(unsigned long)
  0.00      0.37     0.00   106020     0.00     0.00  std::_Vector_base<glm::vec<4, float, (glm::precision)0>, std::allocator<glm::vec<4, float, (glm::precision)0> > >::_Vector_base(unsigned long, std::allocator<glm::vec<4, float, (glm::precision)0> > const&)
  0.00      0.37     0.00   106020     0.00     0.00  std::allocator_traits<std::allocator<glm::vec<4, float, (glm::precision)0> > >::select_on_container_copy_construction(std::allocator<glm::vec<4, float, (glm::precision)0> > const&)
  0.00      0.37     0.00   106020     0.00     0.00  glm::vec<4, float, (glm::precision)0>* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<glm::vec<4, float, (glm::precision)0> const*, std::vector<glm::vec<4, float, (glm::precision)0>, std::allocator<glm::vec<4, float, (glm::precision)0> > > >, glm::vec<4, float, (glm::precision)0>*>(__gnu_cxx::__normal_iterator<glm::vec<4, float, (glm::precision)0> const*, std::vector<glm::vec<4, float, (glm::precision)0>, std::allocator<glm::vec<4, float, (glm::precision)0> > > >, __gnu_cxx::__normal_iterator<glm::vec<4, float, (glm::precision)0> const*, std::vector<glm::vec<4, float, (glm::precision)0>, std::allocator<glm::vec<4, float, (glm::precision)0> > > >, glm::vec<4, float, (glm::precision)0>*)
  0.00      0.37     0.00   106020     0.00     0.00  std::vector<glm::vec<4, float, (glm::precision)0>, std::allocator<glm::vec<4, float, (glm::precision)0> > >::vector(std::vector<glm::vec<4, float, (glm::precision)0>, std::allocator<glm::vec<4, float, (glm::precision)0> > > const&)
  0.00      0.37     0.00   106020     0.00     0.00  glm::vec<4, float, (glm::precision)0>* std::uninitialized_copy<__gnu_cxx::__normal_iterator<glm::vec<4, float, (glm::precision)0> const*, std::vector<glm::vec<4, float, (glm::precision)0>, std::allocator<glm::vec<4, float, (glm::precision)0> > > >, glm::vec<4, float, (glm::precision)0>*>(__gnu_cxx::__normal_iterator<glm::vec<4, float, (glm::precision)0> const*, std::vector<glm::vec<4, float, (glm::precision)0>, std::allocator<glm::vec<4, float, (glm::precision)0> > > >, __gnu_cxx::__normal_iterator<glm::vec<4, float, (glm::precision)0> const*, std::vector<glm::vec<4, float, (glm::precision)0>, std::allocator<glm::vec<4, float, (glm::precision)0> > > >, glm::vec<4, float, (glm::precision)0>*)
  0.00      0.37     0.00   106020     0.00     0.00  glm::vec<4, float, (glm::precision)0>* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<glm::vec<4, float, (glm::precision)0> const*, std::vector<glm::vec<4, float, (glm::precision)0>, std::allocator<glm::vec<4, float, (glm::precision)0> > > >, glm::vec<4, float, (glm::precision)0>*, glm::vec<4, float, (glm::precision)0> >(__gnu_cxx::__normal_iterator<glm::vec<4, float, (glm::precision)0> const*, std::vector<glm::vec<4, float, (glm::precision)0>, std::allocator<glm::vec<4, float, (glm::precision)0> > > >, __gnu_cxx::__normal_iterator<glm::vec<4, float, (glm::precision)0> const*, std::vector<glm::vec<4, float, (glm::precision)0>, std::allocator<glm::vec<4, float, (glm::precision)0> > > >, glm::vec<4, float, (glm::precision)0>*, std::allocator<glm::vec<4, float, (glm::precision)0> >&)
  0.00      0.37     0.00   104975     0.00     0.00  entityx::Entity::valid() const
  0.00      0.37     0.00   104882     0.00     0.00  std::bitset<64ul>::reference::operator bool() const
  0.00      0.37     0.00   104882     0.00     0.00  std::bitset<64ul>::reference::reference(std::bitset<64ul>&, unsigned long)
  0.00      0.37     0.00   104882     0.00     0.00  std::bitset<64ul>::reference::~reference()
  0.00      0.37     0.00   104882     0.00     0.00  std::bitset<64ul>::operator[](unsigned long)
  0.00      0.37     0.00    92877     0.00     0.00  SpatialComponent* entityx::EntityManager::get_component_ptr<SpatialComponent>(entityx::Entity::Id)
  0.00      0.37     0.00    92877     0.00     0.00  entityx::ComponentHandle<SpatialComponent, entityx::EntityManager>::valid() const
  0.00      0.37     0.00    86083     0.00     0.00  unsigned long entityx::EntityManager::component_family<BodyComponent>()
  0.00      0.37     0.00    86083     0.00     0.00  entityx::Component<BodyComponent>::family()
  0.00      0.37     0.00    83359     0.00     0.00  std::vector<CollisionSystem::Candidate, std::allocator<CollisionSystem::Candidate> >::end()
  0.00      0.37     0.00    82650     0.00     0.00  std::move_iterator<CollisionSystem::Candidate*>::base() const
  0.00      0.37     0.00    78681     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<CollisionSystem::Candidate, std::allocator<CollisionSystem::Candidate> >*, std::vector<std::vector<CollisionSystem::Candidate, std::allocator<CollisionSystem::Candidate> >, std::allocator<std::vector<CollisionSystem::Candidate, std::allocator<CollisionSystem::Candidate> > > > >::operator*() const
  0.00      0.37     0.00    76293     0.00     0.00  entityx::Entity::Entity(entityx::EntityManager*, entityx::Entity::Id)
  0.00      0.37     0.00    76284     0.00     0.00  entityx::Entity&& std::forward<entityx::Entity>(std::remove_reference<entityx::Entity>::type&)
  0.00      0.37     0.00    76231     0.00     0.00  entityx::Entity::Id::Id(unsigned int, unsigned int)
  0.00      0.37     0.00    76222     0.00     0.00  entityx::EntityManager::create_id(unsigned int) const
  0.00      0.37     0.00    69914     0.00     0.00  __gnu_cxx::__normal_iterator<CollisionSystem::Candidate*, std::vector<CollisionSystem::Candidate, std::allocator<CollisionSystem::Candidate> > >::operator*() const
  0.00      0.37     0.00    69594     0.00     0.00  SpatialComponent& std::forward<SpatialComponent&>(std::remove_reference<SpatialComponent&>::type&)
  0.00      0.37     0.00    68739     0.00     0.00  bool __gnu_cxx::operator!=<CollisionSystem::Candidate*, std::vector<CollisionSystem::Candidate, std::allocator<CollisionSystem::Candidate> > >(__gnu_cxx::__normal_iterator<CollisionSystem::Candidate*, std::vector<CollisionSystem::Candidate, std::allocator<CollisionSystem::Candidate> > > const&, __gnu_cxx::__normal_iterator<CollisionSystem::Candidate*, std::vector<CollisionSystem::Candidate, std::allocator<CollisionSystem::Candidate> > > const&)
  0.00      0.37     0.00    64623     0.00     0.00  entityx::EntityManager::ViewIterator<entityx::EntityManager::BaseView<false>::Iterator, false>::next()
  0.00      0.37     0.00    63824     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.37     0.00    58480     0.00     0.00  std::vector<CollisionSystem::Candidate, std::allocator<CollisionSystem::Candidate> >::size() const
  0.00      0.37     0.00    58480     0.00     0.00  std::move_iterator<CollisionSystem::Candidate*>::move_iterator(CollisionSystem::Candidate*)
  0.00      0.37     0.00    58480     0.00     0.00  std::move_iterator<CollisionSystem::Candidate*> std::__make_move_if_noexcept_iterator<CollisionSystem::Candidate, std::move_iterator<CollisionSystem::Candidate*> >(CollisionSystem::Candidate*)
  0.00      0.37     0.00    58080     0.00     0.00  entityx::ComponentHandle<SpatialComponent, entityx::EntityManager>::operator->()
  0.00      0.37     0.00    53802     0.00     0.00  std::_Vector_base<CollisionSystem::Candidate, std::allocator<CollisionSystem::Candidate> >::_M_get_Tp_allocator()
  0.00      0.37     0.00    53064     0.00     0.00  unsigned long entityx::EntityManager::component_family<TextureComponent>()
  0.00      0.37     0.00    53064     0.00     0.00  entityx::Component<TextureComponent>::family()
  0.00      0.37     0.00    53024     0.00     0.00  std::_Any_data::_M_access()
  0.00      0.37     0.00    51386     0.00     0.00  std::_Function_base::_M_empty() const
  0.00      0.37     0.00    51367     0.00     0.00  std::_Any_data::_M_access() const
  0.00      0.37     0.00    47485     0.00     0.00  entityx::ComponentHandle<SpatialComponent, entityx::EntityManager>::ComponentHandle(entityx::EntityManager*, entityx::Entity::Id)
  0.00      0.37     0.00    47469     0.00     0.00  entityx::ComponentHandle<SpatialComponent, entityx::EntityManager> entityx::Entity::component<SpatialComponent, void>()
  0.00      0.37     0.00    44796     0.00     0.00  CollisionSystem::Candidate const& std::forward<CollisionSystem::Candidate const&>(std::remove_reference<CollisionSystem::Candidate const&>::type&)
  0.00      0.37     0.00    43860     0.00     0.00  __gnu_cxx::new_allocator<CollisionSystem::Candidate>::max_size() const
  0.00      0.37     0.00    43709     0.00     0.00  __gnu_cxx::__normal_iterator<CollisionSystem::Candidate*, std::vector<CollisionSystem::Candidate, std::allocator<CollisionSystem::Candidate> > >::operator++()
  0.00      0.37     0.00    41325     0.00     0.00  bool std::operator==<CollisionSystem::Candidate*>(std::move_iterator<CollisionSystem::Candidate*> const&, std::move_iterator<CollisionSystem::Candidate*> const&)
  0.00      0.37     0.00    41325     0.00     0.00  bool std::operator!=<CollisionSystem::Candidate*>(std::move_iterator<CollisionSystem::Candidate*> const&, std::move_iterator<CollisionSystem::Candidate*> const&)
  0.00      0.37     0.00    39768     0.00     0.00  entityx::EntityManager::capacity() const
  0.00      0.37     0.00    38111     0.00     0.00  entityx::EntityManager::ViewIterator<entityx::EntityManager::BaseView<false>::Iterator, false>::operator*()
  0.00      0.37     0.00    38111     0.00     0.00  entityx::EntityManager::ViewIterator<entityx::EntityManager::BaseView<false>::Iterator, false>::operator++()
  0.00      0.37     0.00    38111     0.00     0.00  entityx::EntityManager::get(entityx::Entity::Id)
  0.00      0.37     0.00    38111     0.00     0.00  entityx::EntityManager::BaseView<false>::Iterator::next_entity(entityx::Entity&)
  0.00      0.37     0.00    34797     0.00     0.00  entityx::ComponentHandle<SpatialComponent, entityx::EntityManager>::get()
  0.00      0.37     0.00    33140     0.00     0.00  TextureComponent& std::forward<TextureComponent&>(std::remove_reference<TextureComponent&>::type&)
  0.00      0.37     0.00    32561     0.00     0.00  bool entityx::EntityManager::has_component<BodyComponent>(entityx::Entity::Id) const
  0.00      0.37     0.00    32559     0.00     0.00  BodyComponent* entityx::EntityManager::get_component_ptr<BodyComponent>(entityx::Entity::Id)
  0.00      0.37     0.00    29919     0.00     0.00  std::bitset<64ul>::_M_check(unsigned long, char const*) const
  0.00      0.37     0.00    29857     0.00     0.00  std::bitset<64ul>::_Unchecked_set(unsigned long, int)
  0.00      0.37     0.00    29857     0.00     0.00  std::bitset<64ul>::set(unsigned long, bool)
  0.00      0.37     0.00    29240     0.00     0.00  std::_Vector_base<CollisionSystem::Candidate, std::allocator<CollisionSystem::Candidate> >::_M_get_Tp_allocator() const
  0.00      0.37     0.00    29240     0.00     0.00  std::vector<CollisionSystem::Candidate, std::allocator<CollisionSystem::Candidate> >::max_size() const
  0.00      0.37     0.00    29240     0.00     0.00  std::allocator_traits<std::allocator<CollisionSystem::Candidate> >::max_size(std::allocator<CollisionSystem::Candidate> const&)
  0.00      0.37     0.00    29240     0.00     0.00  CollisionSystem::Candidate* std::__uninitialized_copy<false>::__uninit_copy<std::move_iterator<CollisionSystem::Candidate*>, CollisionSystem::Candidate*>(std::move_iterator<CollisionSystem::Candidate*>, std::move_iterator<CollisionSystem::Candidate*>, CollisionSystem::Candidate*)
  0.00      0.37     0.00    29240     0.00     0.00  CollisionSystem::Candidate* std::uninitialized_copy<std::move_iterator<CollisionSystem::Candidate*>, CollisionSystem::Candidate*>(std::move_iterator<CollisionSystem::Candidate*>, std::move_iterator<CollisionSystem::Candidate*>, CollisionSystem::Candidate*)
  0.00      0.37     0.00    29240     0.00     0.00  CollisionSystem::Candidate* std::__uninitialized_copy_a<std::move_iterator<CollisionSystem::Candidate*>, CollisionSystem::Candidate*, CollisionSystem::Candidate>(std::move_iterator<CollisionSystem::Candidate*>, std::move_iterator<CollisionSystem::Candidate*>, CollisionSystem::Candidate*, std::allocator<CollisionSystem::Candidate>&)
  0.00      0.37     0.00    29240     0.00     0.00  CollisionSystem::Candidate* std::__uninitialized_move_if_noexcept_a<CollisionSystem::Candidate*, CollisionSystem::Candidate*, std::allocator<CollisionSystem::Candidate> >(CollisionSystem::Candidate*, CollisionSystem::Candidate*, CollisionSystem::Candidate*, std::allocator<CollisionSystem::Candidate>&)
  0.00      0.37     0.00    28621     0.00     0.00  entityx::Entity::Id::operator==(entityx::Entity::Id const&) const
  0.00      0.37     0.00    28621     0.00     0.00  entityx::Entity::operator==(entityx::Entity const&) const
  0.00      0.37     0.00    28621     0.00     0.00  entityx::Entity::operator!=(entityx::Entity const&) const
  0.00      0.37     0.00    26531     0.00     0.00  std::_Function_base::_Function_base()
  0.00      0.37     0.00    26531     0.00     0.00  std::_Function_base::~_Function_base()
  0.00      0.37     0.00    26522     0.00     0.00  __gnu_cxx::__normal_iterator<stella::graphics::Sprite**, std::vector<stella::graphics::Sprite*, std::allocator<stella::graphics::Sprite*> > >::__normal_iterator(stella::graphics::Sprite** const&)
  0.00      0.37     0.00    26512     0.00     0.00  entityx::EntityManager::ViewIterator<entityx::EntityManager::BaseView<false>::Iterator, false>::ViewIterator(entityx::EntityManager*, std::bitset<64ul>, unsigned int)
  0.00      0.37     0.00    26512     0.00     0.00  entityx::EntityManager::BaseView<false>::Iterator::Iterator(entityx::EntityManager*, std::bitset<64ul>, unsigned int)
